make,model,vehicle_class,pricing_group,classification_source,review_status,is_commercial
Buick,Enclave,suv,SUV,manual_vehicle_class_review_20260905,ok,false
Chrysler,Town and Country,van,Van,manual_vehicle_class_review_20260905,ok,false
Chrysler,Grand Voyager,van,Van,manual_vehicle_class_review_20260905,ok,false
Chrysler,Voyager,van,Van,manual_vehicle_class_review_20260905,ok,false
Fiat,500e,coupe,Coupe,manual_vehicle_class_review_20260905,ok,false
Ford,Mustang Mach-E,suv,SUV,manual_vehicle_class_review_20260905,ok,false
Genesis,GV60,suv,SUV,manual_vehicle_class_review_20260905,ok,false
Genesis,GV70,suv,SUV,manual_vehicle_class_review_20260905,ok,false
Genesis,GV80,suv,SUV,manual_vehicle_class_review_20260905,ok,false
GMC,Hummer EV Pickup,truck,Truck,manual_vehicle_class_review_20260905,ok,false
GMC,Hummer EV SUV,suv,SUV,manual_vehicle_class_review_20260905,ok,false
Honda,Prelude,coupe,Coupe,manual_vehicle_class_review_20260905,ok,false
Honda,Prologue,suv,SUV,manual_vehicle_class_review_20260905,ok,false
Hyundai,Ioniq 5,suv,SUV,manual_vehicle_class_review_20260905,ok,false
Hyundai,Ioniq 5 N,suv,SUV,manual_vehicle_class_review_20260905,ok,false
Hyundai,Ioniq 9,suv,SUV,manual_vehicle_class_review_20260905,ok,false
Hyundai,Kona,suv,SUV,manual_vehicle_class_review_20260905,ok,false
Hyundai,Nexo,suv,SUV,manual_vehicle_class_review_20260905,ok,false
Hyundai,Venue,suv,SUV,manual_vehicle_class_review_20260905,ok,false
Infiniti,QX80,suv,SUV,manual_vehicle_class_review_20260905,ok,false
Jeep,Grand Wagoneer,suv,SUV,manual_vehicle_class_review_20260905,ok,false
Jeep,Grand Wagoneer L,suv,SUV,manual_vehicle_class_review_20260905,ok,false
Jeep,Wagoneer S,suv,SUV,manual_vehicle_class_review_20260905,ok,false
Jeep,Recon,suv,SUV,manual_vehicle_class_review_20260905,ok,false
Kia,Niro,suv,SUV,manual_vehicle_class_review_20260905,ok,false
Lexus,LS,sedan,Sedan,manual_vehicle_class_review_20260905,ok,false
Lexus,TX,suv,SUV,manual_vehicle_class_review_20260905,ok,false
Lexus,UX,suv,SUV,manual_vehicle_class_review_20260905,ok,false
Lincoln,Navigator L,suv,SUV,manual_vehicle_class_review_20260905,ok,false
Mazda,MX-5,coupe,Coupe,manual_vehicle_class_review_20260905,ok,false
Mercedes-Benz,G-Class,suv,SUV,manual_vehicle_class_review_20260905,ok,false
Mercedes-Benz,GLA-Class,suv,SUV,manual_vehicle_class_review_20260905,ok,false
Mercedes-Benz,GLB-Class,suv,SUV,manual_vehicle_class_review_20260905,ok,false
Mercedes-Benz,GLC-Class,suv,SUV,manual_vehicle_class_review_20260905,ok,false
Mercedes-Benz,GLE-Class,suv,SUV,manual_vehicle_class_review_20260905,ok,false
Mercedes-Benz,GLS-Class,suv,SUV,manual_vehicle_class_review_20260905,ok,false
Mercedes-Benz,EQS-Class SUV,suv,SUV,manual_vehicle_class_review_20260905,ok,false
Mercedes-Benz,EQE-Class SUV,suv,SUV,manual_vehicle_class_review_20260905,ok,false
Mini,Countryman,suv,SUV,manual_vehicle_class_review_20260905,ok,false
Mitsubishi,Outlander,suv,SUV,manual_vehicle_class_review_20260905,ok,false
Mitsubishi,Outlander Sport,suv,SUV,manual_vehicle_class_review_20260905,ok,false
Nissan,NV,van,Van,manual_vehicle_class_review_20260905,ok,false
Nissan,Nissan Z,coupe,Coupe,manual_vehicle_class_review_20260905,ok,false
Subaru,BRZ,coupe,Coupe,manual_vehicle_class_review_20260905,ok,false
Subaru,Solterra,suv,SUV,manual_vehicle_class_review_20260905,ok,false
Subaru,Trailseeker,suv,SUV,manual_vehicle_class_review_20260905,ok,false
Subaru,Uncharted,suv,SUV,manual_vehicle_class_review_20260905,ok,false
Subaru,WRX,sedan,Sedan,manual_vehicle_class_review_20260905,ok,false
Toyota,C-HR,suv,SUV,manual_vehicle_class_review_20260905,ok,false
Toyota,Corolla Cross,suv,SUV,manual_vehicle_class_review_20260905,ok,false
Toyota,Crown Signia,suv,SUV,manual_vehicle_class_review_20260905,ok,false
Toyota,bZ,suv,SUV,manual_vehicle_class_review_20260905,ok,false
Toyota,bZ Woodland,suv,SUV,manual_vehicle_class_review_20260905,ok,false
Volkswagen,Jetta,sedan,Sedan,manual_vehicle_class_review_20260905,ok,false
Volkswagen,Jetta GLI,sedan,Sedan,manual_vehicle_class_review_20260905,ok,false
Volkswagen,Atlas,suv,SUV,manual_vehicle_class_review_20260905,ok,false
Volkswagen,Atlas Cross Sport,suv,SUV,manual_vehicle_class_review_20260905,ok,false
Volvo,V60CC,suv,SUV,manual_vehicle_class_review_20260905,ok,false
Volvo,V90CC,suv,SUV,manual_vehicle_class_review_20260905,ok,false
